chromosome	position	LR	CN
chr1	436844	-0.255328298735308	2
chr1	959147	0.0890826324762073	2
chr1	1306791	-0.17985372800606	2
chr1	1313281	-0.510719143766317	2
chr1	1359643	0.0430743628176546	2
chr1	1972432	-0.432421774549305	2
chr1	2023062	-0.0709242014376079	2
chr1	2052034	-0.400942360754324	2
chr1	2135348	0.0206877823771069	2
chr1	2776938	-1.08214260228835	2
chr1	2835953	0.315617316117621	2
chr1	2926132	0.127970552555616	2
chr1	3163287	0.239065263866851	2
chr1	3168857	0.555716752941221	2
chr1	3352040	-0.150527535275815	2
chr1	3436349	0.039251750698609	2
chr1	3521093	-0.231557709996763	2
chr1	3818663	0.143922909396961	2
chr1	3839939	-0.211622797387248	2
chr1	4031197	0.367628686582959	2
chr1	4443036	0.214068164271407	2
chr1	5044906	-0.0446948018590267	2
chr1	5740994	0.0651052475495305	2
chr1	5755918	-0.200003428725125	2
chr1	5907032	0.024315548376529	2
chr1	5986765	-0.0682402365451599	2
chr1	6081355	-0.623538245782782	2
chr1	6684264	0.0805692249802602	2
chr1	6722020	-0.362659308354677	2
chr1	7187848	-0.0590444197488475	2
chr1	8099630	-0.0900874492442998	2
chr1	8167363	-0.0104384925147721	2
chr1	8172957	-0.118811323113349	2
chr1	9198820	-0.158493805263699	2
chr1	9590946	-0.426575036840653	2
chr1	9905541	0.350354462744496	2
chr1	10250434	0.268348293575948	2
chr1	10536775	0.0596582912338366	2
chr1	10537305	0.0138786393749109	2
chr1	10882801	0.34431008209601	2
chr1	11370489	0.130742219218227	2
chr1	11575684	-0.453130010383601	2
chr1	11753647	0.0665244201909574	2
chr1	11902934	-0.255782635425118	2
chr1	11994349	-0.0931526070962356	2
chr1	12060037	0.118690032543879	2
chr1	12503079	-0.0456927024349417	2
chr1	12618671	-0.411826156627283	2
chr1	12744347	-0.425384535875414	2
chr1	12771548	0.275198677092329	2
chr1	12777614	0.277857760220065	2
chr1	13019567	0.160151839499132	2
chr1	13236545	-0.550916879623903	2
chr1	13620035	-0.466496562918576	2
chr1	13707095	-0.928200244690004	2
chr1	13882842	0.167289602017398	2
chr1	14105948	-0.27959995805702	2
chr1	14164421	0.530464364872539	2
chr1	14343071	-0.0913365675666646	2
chr1	15569824	-1.08257001515397	2
chr1	16767852	-0.228247305872464	2
chr1	16779708	-0.200043908365648	2
chr1	16823065	0.174380576746807	2
chr1	16846319	-0.245722584958984	2
chr1	17113448	0.0676877907725176	2
chr1	18369644	-0.636704422794706	2
chr1	18633775	0.137828430604969	2
chr1	18846909	0.36780854859828	2
chr1	18987500	0.113149317900008	2
chr1	19393862	-0.422260501015784	2
chr1	19508679	0.0360666303374825	2
chr1	19681216	0.319587091392817	2
chr1	20177131	0.35124690255821	2
chr1	20271544	0.0977372010344533	2
chr1	20874064	-0.154480808290059	2
chr1	21211442	0.402289055093912	2
chr1	21381797	-0.0946608771917822	2
chr1	21742253	-0.486230699022652	2
chr1	22292733	0.0930229224248549	2
chr1	22745857	1.54228986360577	2
chr1	22840004	-0.622662482741766	2
chr1	22850594	-0.68491194206446	2
chr1	23040733	-0.112939921045734	2
chr1	23161518	0.167152733418628	2
chr1	23246081	-0.139025910258082	2
chr1	23397623	-0.722047863607951	2
chr1	23637245	-0.193988096354317	2
chr1	23643741	-0.244218706063627	2
chr1	23823498	-0.270917142715618	2
chr1	24468039	-0.0821927781545178	2
chr1	24475050	0.133580238514673	2
chr1	24569244	-0.324778633931445	2
chr1	24650828	-0.212238684618891	2
chr1	24695379	0.382250607572038	2
chr1	24762666	-0.158837283552968	2
chr1	25134659	0.0581755740080324	2
chr1	25691949	-0.718822256765687	2
chr1	25762775	0.450663843089584	2
chr1	25779738	-0.675814670823092	2
chr1	25875706	-0.489184392055058	2
chr1	25985489	-1.01669380164785	2
chr1	26264044	-0.269534979973705	2
chr1	26420105	0.17217078357738	2
chr1	26546716	0.247050055962414	2
chr1	26656642	0.0621179166216018	2
chr1	27078957	-0.167119534669198	2
chr1	27280361	0.305306977706233	2
chr1	27292640	0.29014272648627	2
chr1	27313976	-0.793222987642271	2
chr1	27743076	-5.07372433122976	1
chr1	27893178	-0.1251121254124	1
chr1	27956486	0.317024259389662	1
chr1	28013726	0.208733173200002	1
chr1	28213568	0.0927305726299628	1
chr1	28356498	-0.289909333729078	1
chr1	28834434	0.426373459616487	1
chr1	29275723	-0.23415312745814	1
chr1	29370828	-0.101665168655836	1
chr1	29501483	0.139248382719555	1
chr1	29791186	0.277012942957304	1
chr1	30333873	-0.492392803596781	1
chr1	30402803	-1.23235438827405	1
chr1	30849630	-2.16747604431127	1
chr1	31147100	-0.95624572013706	1
chr1	31676862	-0.762880259680832	1
chr1	31816505	-1.89820578665762	1
chr1	32106951	-0.697662629534772	1
chr1	32254696	-2.05807337728187	1
chr1	32504797	-2.79005786667976	1
chr1	32612628	-0.654031818515103	1
chr1	33053292	-0.991188250523803	1
chr1	33131260	-1.12475711387065	1
chr1	33219730	-3.94949431001592	1
chr1	33227973	-0.761487449301809	1
chr1	33660731	-0.439150237752213	1
chr1	34026908	-1.60905683812238	1
chr1	34448851	-1.31697999809808	1
chr1	34662616	-1.50134875579167	1
chr1	34814047	-1.86900674543581	1
chr1	35707967	-0.87236861105488	1
chr1	37134473	-0.619327707594835	1
chr1	37215614	-0.492480541007132	1
chr1	37393215	-5.20801707509354	1
chr1	37571212	-1.33458411070197	1
chr1	37779352	-1.27162626127264	1
chr1	37942121	-1.34381681763061	1
chr1	38348788	-2.61456295762574	1
chr1	38933407	-1.9847976801355	1
chr1	38944110	-0.908370573620025	1
chr1	39129830	0.072451410592884	1
chr1	39398545	-1.40356661176752	1
chr1	40098465	-1.04289997272644	1
chr1	40101512	-0.748124988893037	1
chr1	40216681	-0.236123750206753	1
chr1	40414298	-0.886710495374965	1
chr1	40685746	-1.05475281940561	1
chr1	40753442	-2.06434888545889	1
chr1	40971745	-0.988679548967687	1
chr1	41102716	-1.48262189792043	1
chr1	41184187	-0.775876686210167	1
chr1	41343756	-0.948599636621757	1
chr1	41401466	-2.76495458928704	1
chr1	41475514	-1.04460194975275	1
chr1	41648615	-1.37585682968589	1
chr1	42151189	-0.551334440608712	1
chr1	42388924	-0.406815476721803	1
chr1	43068108	-0.445222284767958	1
chr1	43183664	-1.68224213057375	1
chr1	43310565	-2.43151005786641	1
chr1	43919078	-0.729961903031958	1
chr1	43934702	-1.01438020096008	1
chr1	44237378	-2.74913538758476	1
chr1	44435291	-0.831635179359719	1
chr1	44518833	-1.9185308219961	1
chr1	44673858	-0.693762656243952	1
chr1	44787653	-0.136512042295312	1
chr1	44892777	-0.202962584946984	1
chr1	45111638	-0.165478625842561	1
chr1	45336939	-1.88725924554934	1
chr1	45629262	-1.19686248567826	1
chr1	45871429	-5.29577988063511	1
chr1	46558547	-4.18822480815947	1
chr1	46645241	0.00429001816895246	1
chr1	46718149	-0.54458315919187	1
chr1	46723111	-0.796773471680329	1
chr1	46821515	-1.90259310367032	1
chr1	47227355	-1.53923691882515	1
chr1	47254464	-0.349333734622917	1
chr1	47298683	-0.182348983378178	1
chr1	47341763	-0.963332718965693	1
chr1	47573526	-1.33392990824771	1
chr1	48211131	-0.877044999614949	1
chr1	48663170	-3.36497875196331	1
chr1	48938109	-0.446942021222902	1
chr1	49088498	-0.525036308489077	1
chr1	49472860	-0.439843111469286	1
chr1	49494877	-1.21669777945588	1
chr1	49769883	-2.87164403319516	1
chr1	50060048	-0.193062243205008	1
chr1	50268125	0.145414192797959	1
chr1	50981067	-0.452726711530745	1
chr1	51311746	-0.245470540428531	1
chr1	51429049	0.275042986492251	1
chr1	51538571	-0.0216090738768593	1
chr1	51683323	-0.0281226698604323	1
chr1	51692710	0.14297198681606	1
chr1	52026911	-0.6103860141248	1
chr1	52056370	-1.11425349730544	1
chr1	52485860	0.043369498330522	1
chr1	52625020	0.377370179269626	1
chr1	53019041	-0.0946731347512877	1
chr1	53125197	-0.129894669713977	2
chr1	53763750	-0.868936824057258	2
chr1	53812214	-0.755657870133494	2
chr1	53964411	-4.53880699065905	2
chr1	53982159	-0.856542151664497	2
chr1	54414807	-0.0848612782482773	2
chr1	55078091	0.532127650428315	2
chr1	55455196	-0.0612676629197425	2
chr1	55482615	0.265763144046771	2
chr1	55628207	-0.401791720679184	2
chr1	55861509	-0.966138206825129	2
chr1	56178149	0.532671671448372	2
chr1	56322916	0.409523385905774	2
chr1	56803229	0.352949083391853	2
chr1	56909607	-0.411771438862411	2
chr1	57082701	0.178268397183999	2
chr1	57400550	-0.307604500587287	2
chr1	57424048	0.179192555626908	2
chr1	57442043	0.0505149286488569	2
chr1	58604230	-0.701631022484157	2
chr1	58820590	-0.311510362005188	2
chr1	58876637	-2.07902045391624	2
chr1	58964489	0.284358451826834	2
chr1	59223397	0.0672814915506891	2
chr1	60280488	-0.520378406838861	2
chr1	60665516	-0.00366608802431429	2
chr1	60855642	0.134966225077001	2
chr1	61424858	0.682017922126908	2
chr1	61435612	0.178767292945256	2
chr1	61437116	-0.0185343654895992	2
chr1	61590478	0.170065621361516	2
chr1	62363109	0.0184403255721509	2
chr1	62487251	0.360704290226971	2
chr1	62494923	0.307547447806881	2
chr1	62947780	0.487341470401913	2
chr1	63061209	-0.410684352152319	2
chr1	63185594	0.226014816127209	2
chr1	63309533	0.0277478652039882	2
chr1	63529408	-0.0595379307649082	2
chr1	64111238	-0.240553648388585	2
chr1	64323119	0.468842750008713	2
chr1	64535519	-0.436018195758539	2
chr1	64616750	-0.110459923813292	2
chr1	64685110	0.43381244405456	2
